Dystans (m),Wysokość (m)
620.854510546996,798.6710815429688
625.7049364106445,800.28076171875
630.5553622742929,801.6433715820312
635.4057881379413,802.8683471679688
640.2562140015897,803.9557495117188
645.1066398652381,804.3179931640625
649.9570657288865,803.9501953125
654.8074915925349,803.40966796875
659.6579174561833,802.919921875
664.5083433198317,803.225830078125
669.3587691834801,803.8849487304688
674.2091950471286,804.7162475585938
679.059620910777,805.7611694335938
683.9100467744253,807.4698486328125
688.7604726380737,809.1708374023438
693.6108985017221,810.8641357421875
698.4613243653705,812.685302734375
703.3117502290189,814.7745971679688
708.1621760926673,816.8922119140625
713.0126019563157,819.0382690429688
717.8630278199641,820.7760620117188
722.7134536836126,822.0140380859375
727.563879547261,823.1761474609375
732.4143054109094,824.3222045898438
737.2647312745578,824.9677734375
742.1151571382062,825.780029296875
746.9655830018546,826.8104858398438
751.816008865503,828.2075805664062
756.6664347291514,830.2349243164062
761.5168605927998,832.2073974609375
766.3672864564483,834.1249389648438
771.2177123200967,835.60888671875
776.0681381837451,836.5350952148438
780.9185640473935,837.2618408203125
785.7689899110419,837.7892456054688
790.6194157746903,838.804931640625
795.4698416383387,839.887939453125
800.3202675019871,840.9150390625
805.1706933656355,841.8964233398438
810.0211192292838,843.0173950195312
814.8715450929323,844.1439208984375
819.7219709565807,845.2759399414062
824.5723968202291,846.2932739257812
829.4228226838775,847.0997314453125
834.2732485475259,847.9315185546875
839.1236744111743,848.7885131835938
843.9741002748227,849.3480834960938
848.8245261384711,849.729248046875
853.6749520021195,850.1182861328125
858.525377865768,850.467529296875
863.3758037294164,850.4817504882812
868.2262295930648,850.4655151367188
873.0766554567132,850.4473876953125
877.9270813203616,850.46044921875
882.77750718401,850.651611328125
887.6279330476584,850.9171752929688
892.4783589113068,851.2570190429688
897.3287847749552,851.6174926757812
902.1792106386036,851.9328002929688
907.0296365022521,852.239013671875
911.8800623659005,852.5360717773438
916.7304882295489,852.6796264648438
921.5809140931973,852.6864624023438
926.4313399568457,852.6072998046875
931.281765820494,852.5045166015625
936.1321916841424,852.322509765625
940.9826175477908,852.1458129882812
945.8330434114392,851.974365234375
950.6834692750876,851.8264770507812
955.533895138736,851.7626953125
960.3843210023845,851.7682495117188
965.2347468660329,851.8432006835938
970.0851727296813,852.0309448242188
974.9355985933297,852.2968139648438
979.7860244569781,852.6100463867188
984.6364503206265,852.9707641601562
989.4868761842749,853.1360473632812
994.3373020479233,853.1962890625
999.1877279115718,853.2110595703125
1004.0381537752202,853.1448364257812
1008.8885796388686,852.8905639648438
1013.739005502517,852.6047973632812
1018.5894313661654,852.2874145507812
1023.4398572298138,851.8551025390625
1028.2902830934622,851.3013305664062
1033.1407089571105,850.71875
1037.991134820759,850.1073608398438
1042.8415606844073,849.3289184570312
1047.6919865480559,848.4960327148438
1052.5424124117042,847.65478515625
1057.3928382753527,846.7588500976562
1062.243264139001,845.8660888671875
1067.0936900026495,845.0516967773438
1071.9441158662978,844.3156127929688
1076.7945417299463,843.77734375
1081.6449675935946,843.5064697265625
1086.4953934572432,843.2326049804688
1091.3458193208915,842.9556884765625
1096.19624518454,842.6139526367188
1101.0466710481883,842.2449951171875
1105.8970969118368,841.8911743164062
1110.747522775485,841.552490234375
1115.5979486391336,841.1322631835938
1120.448374502782,840.7490234375
1125.2988003664302,840.5404663085938
