Dystans (m),Wysokość (m)
20508.745015694683,2412.05126953125
20554.42150793454,2408.251708984375
20600.098000174396,2411.5361328125
20645.77449241425,2415.574951171875
20691.450984654104,2414.426025390625
20737.12747689396,2414.80419921875
20782.803969133813,2422.476318359375
20828.480461373667,2429.38916015625
20874.15695361352,2422.388671875
20919.833445853375,2432.652099609375
20965.50993809323,2437.62890625
21011.186430333084,2437.94580078125
21056.86292257294,2441.90673828125
21102.539414812793,2443.92822265625
21148.215907052647,2446.12939453125
21193.892399292505,2447.80712890625
21239.56889153236,2451.428955078125
21285.245383772213,2454.884033203125
21330.921876012068,2457.955322265625
21376.59836825192,2459.9580078125
21422.274860491776,2460.305419921875
21467.95135273163,2460.625244140625
21513.627844971485,2460.4287109375
21559.30433721134,2456.6640625
21604.980829451193,2456.67578125
21650.657321691047,2453.64404296875
21696.3338139309,2452.84619140625
21742.010306170756,2456.189453125
21787.68679841061,2459.3564453125
21833.363290650468,2460.424560546875
21879.039782890322,2461.9111328125
21924.716275130177,2461.04833984375
21970.39276737003,2465.509033203125
22016.069259609885,2465.93505859375
22061.74575184974,2464.4345703125
22107.422244089594,2466.208251953125
22153.098736329448,2467.670654296875
22198.775228569302,2465.06689453125
22244.451720809157,2456.9443359375
22290.12821304901,2451.15966796875
22335.804705288865,2447.139892578125
22381.48119752872,2455.798583984375
22427.157689768574,2464.498046875
22472.83418200843,2471.46484375
22518.510674248286,2475.48046875
22564.18716648814,2478.488525390625
22609.863658727994,2480.464599609375
22655.54015096785,2482.6376953125
22701.216643207703,2483.15625
22746.893135447557,2482.048095703125
22792.56962768741,2477.99267578125
22838.246119927266,2474.018798828125
22883.92261216712,2468.919921875
22929.599104406974,2474.486083984375
22975.27559664683,2481.2607421875
23020.952088886683,2485.426025390625
23066.628581126537,2488.453125
23112.305073366395,2492.7958984375
23157.98156560625,2495.24658203125
23203.658057846103,2497.512939453125
23249.334550085958,2497.66162109375
23295.011042325812,2497.579345703125
23340.687534565666,2497.168212890625
